id,status,quantity,box__id,observation
257,COM,,257,planilla excel 2023
258,COM,,258,planilla excel 2023
259,COM,,259,planilla excel 2023
260,COM,,260,planilla excel 2023
261,COM,,261,planilla excel 2023
262,COM,,262,planilla excel 2023
263,COM,,263,planilla excel 2023
264,COM,,264,planilla excel 2023
265,COM,,265,planilla excel 2023
266,COM,,266,planilla excel 2023
267,COM,,267,planilla excel 2023
268,COM,,268,planilla excel 2023
269,COM,,269,planilla excel 2023
270,COM,,270,planilla excel 2023
271,COM,,271,planilla excel 2023
272,COM,,272,planilla excel 2023
273,COM,,273,planilla excel 2023
274,COM,,274,planilla excel 2023
275,COM,,275,planilla excel 2023
276,COM,,276,planilla excel 2023
277,COM,,277,planilla excel 2023
278,COM,,278,planilla excel 2023
279,COM,,279,planilla excel 2023
280,COM,,280,planilla excel 2023
281,COM,,281,planilla excel 2023
282,COM,,282,planilla excel 2023
283,COM,,283,planilla excel 2023
284,COM,,284,planilla excel 2023
285,COM,,285,planilla excel 2023
286,COM,,286,planilla excel 2023
287,COM,,287,planilla excel 2023
288,COM,,288,planilla excel 2023
289,COM,,289,planilla excel 2023
290,COM,,290,planilla excel 2023
291,COM,,291,planilla excel 2023
292,COM,,292,planilla excel 2023
293,COM,,293,planilla excel 2023
294,COM,,294,planilla excel 2023
295,COM,,295,planilla excel 2023
296,COM,,296,planilla excel 2023
297,COM,,297,planilla excel 2023
298,COM,,298,planilla excel 2023
299,COM,,299,planilla excel 2023
300,COM,,300,planilla excel 2023
301,COM,,301,planilla excel 2023
302,COM,,302,planilla excel 2023
303,COM,,303,planilla excel 2023
304,COM,,304,planilla excel 2023
305,COM,,305,planilla excel 2023
306,COM,,306,planilla excel 2023
307,COM,,307,planilla excel 2023
308,COM,,308,planilla excel 2023
309,COM,,309,planilla excel 2023
310,COM,,310,planilla excel 2023
311,COM,,311,planilla excel 2023
312,COM,,312,planilla excel 2023
313,COM,,313,planilla excel 2023
314,COM,,314,planilla excel 2023
315,COM,,315,planilla excel 2023
316,COM,,316,planilla excel 2023
317,COM,,317,planilla excel 2023
318,COM,,318,planilla excel 2023
319,COM,,319,planilla excel 2023
320,COM,,320,planilla excel 2023
321,COM,,321,planilla excel 2023
322,COM,,322,planilla excel 2023
